Product ID,Product Name,Product Price,Description,Image URL,Manufacturer,Product URL,Supplier URL
52,Capitan Helmet,$119.99,,www.blackdiamondequipment.com.au/cdn/shop/products/620221_9296_CAPTAINHELMET_AstralBlack_1-1200x1200-cb0e6d2_400x.png?v=1670830559,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/capitan-helmet-bd620221,https://www.blackdiamondequipment.com.au/collections/equipment-climb
53,Couloir Harness,$159.99,,www.blackdiamondequipment.com.au/cdn/shop/products/651155_9103_COULOIR-HARNESS_ULTRA-BLUE-BLACK_01_-1200x1200-cb0e6d2_400x.jpg?v=1670218722,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/couloir-harness-bd651155,https://www.blackdiamondequipment.com.au/collections/equipment-climb
54,18mm Nylon Runner,$29.99,,www.blackdiamondequipment.com.au/cdn/shop/products/380114_5000_240CMNYLONSLING_PURPLE_01_-720x720-8ab5165_400x.png?v=1648190888,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/18mm-nylon-runner-bd380114,https://www.blackdiamondequipment.com.au/collections/equipment-climb
55,Stone 45 Backpack,$269.99,,www.blackdiamondequipment.com.au/cdn/shop/files/681180_0003_STONE_45_BACKPACK_Carbon_01_-600x600-950dd6f_400x.png?v=1710987976,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/stone-45-backpack,https://www.blackdiamondequipment.com.au/collections/equipment-climb
56,Nut Tool,$26.99,,www.blackdiamondequipment.com.au/cdn/shop/products/use_BD6200600000ALL1a_400x.jpg?v=1648198835,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/nut-tool-bd620060,https://www.blackdiamondequipment.com.au/collections/equipment-climb
57,Super Chute Rope Bag,$89.99,,www.blackdiamondequipment.com.au/cdn/shop/files/359991_0002_SUPER_CHUTE_ROPE_BAG_Black_01_-600x600-950dd6f_400x.png?v=1710987413,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/super-chute-rope-bag,https://www.blackdiamondequipment.com.au/collections/equipment-climb
58,10mm Dynex Runner,$52.99,,www.blackdiamondequipment.com.au/cdn/shop/products/380119_5000_10MMDYNEXRUNNER240CM_PURPLE_01_-720x720-8ab5165_400x.png?v=1648193325,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/10mm-dynex-runner-bd380119,https://www.blackdiamondequipment.com.au/collections/equipment-climb
59,ATC - Guide Alpine,$54.99,,www.blackdiamondequipment.com.au/cdn/shop/products/620047_3011_ATCALPINEGUIDE_ENVYGREEN_01_400x.png?v=1646969095,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/atc-guide-alpine-bd620047,https://www.blackdiamondequipment.com.au/collections/equipment-climb
60,Speed Step Aider,$54.99,,www.blackdiamondequipment.com.au/cdn/shop/files/380004_0000_SPEED_STEP_AIDER_NO_COLOR_01_400x.jpg?v=1696579609,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/speed-step-aider,https://www.blackdiamondequipment.com.au/collections/equipment-climb
61,10mm Dynex Dogbone 12cm 3-Pack,$34.99,,www.blackdiamondequipment.com.au/cdn/shop/products/380100_0000_10MMDYNEXDOGBONE12CM3PACK_NOCOLOR_01_-720x720-8ab5165_400x.png?v=1646724791,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/10mm-dynex-dogbone-12cm-3-pack-bd380100,https://www.blackdiamondequipment.com.au/collections/equipment-climb
62,Standard Dogbone 12cm 6-Pack,$46.99,,www.blackdiamondequipment.com.au/cdn/shop/products/380104_0000_STANDARDDOGBONE12CM6PACK_NOCOLOR_01_-720x720-8ab5165_400x.png?v=1646806676,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/standard-dogbone-12cm-6-pack-bd380104,https://www.blackdiamondequipment.com.au/collections/equipment-climb
63,Bosun's Chair,$129.99,,www.blackdiamondequipment.com.au/cdn/shop/products/use_BD8104600000ALL1a_400x.jpg?v=1639717561,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/bosuns-chair-bd810460,https://www.blackdiamondequipment.com.au/collections/equipment-climb
64,Zion 145 Haul Bag,$479.99,,www.blackdiamondequipment.com.au/cdn/shop/products/use_BD8102800000ALL1a_400x.jpg?v=1639717584,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/zion-145-haul-bag-bd810280,https://www.blackdiamondequipment.com.au/collections/equipment-climb
65,Forearm Trainer,$16.99,,www.blackdiamondequipment.com.au/cdn/shop/products/use_BD8001500000ALL1a_400x.jpg?v=1639717532,Black Diamond,https://www.blackdiamondequipment.com.au/collections/equipment-climb/products/forearm-trainer-bd800150,https://www.blackdiamondequipment.com.au/collections/equipment-climb
